,sepal_length,sepal_width,petal_length,petal_width,species
0,4.8,3.1,1.6,0.2,1.0
1,4.9,3.6,1.4,0.1,1.0
2,5.8,2.6,4.0,1.2,1.0
3,6.7,3.0,5.0,1.7,1.0
4,6.0,2.7,5.1,1.6,1.0
5,5.5,2.5,4.0,1.3,1.0
6,5.6,3.0,4.1,1.3,1.0
7,5.8,2.7,3.9,1.2,1.0
8,6.5,2.8,4.6,1.5,1.0
9,6.4,3.2,4.5,1.5,1.0
10,5.0,2.3,3.3,1.0,1.0
11,6.3,3.3,4.7,1.6,1.0
12,6.3,2.7,4.9,1.8,0.0
13,7.6,3.0,6.6,2.1,0.0
14,5.7,2.5,5.0,2.0,0.0
15,6.5,3.2,5.1,2.0,0.0
16,6.5,3.0,5.2,2.0,0.0
17,6.7,3.3,5.7,2.5,0.0
18,6.3,2.5,5.0,1.9,0.0
19,6.5,3.0,5.8,2.2,0.0
20,7.7,2.6,6.9,2.3,0.0
21,7.1,3.0,5.9,2.1,0.0
22,5.9,3.0,5.1,1.8,0.0
23,6.2,3.4,5.4,2.3,0.0
24,7.2,3.2,6.0,1.8,0.0
25,5.8,2.7,5.1,1.9,0.0
26,6.8,3.2,5.9,2.3,0.0
27,6.9,3.1,5.4,2.1,0.0
28,6.4,3.1,5.5,1.8,0.0
29,5.8,2.8,5.1,2.4,0.0
30,7.2,3.6,6.1,2.5,0.0
31,6.4,2.7,5.3,1.9,0.0
32,4.9,2.5,4.5,1.7,0.0
33,6.3,3.3,6.0,2.5,0.0
34,6.7,3.1,5.6,2.4,0.0
35,6.3,2.8,5.1,1.5,0.0
36,7.7,3.0,6.1,2.3,0.0
37,5.8,2.7,5.1,1.9,0.0
38,6.1,2.6,5.6,1.4,0.0
39,6.4,2.8,5.6,2.2,0.0
40,7.2,3.0,5.8,1.6,0.0
41,5.6,2.8,4.9,2.0,0.0
42,6.2,2.8,4.8,1.8,0.0
43,6.9,3.1,5.1,2.3,0.0
44,7.3,2.9,6.3,1.8,0.0
45,6.4,3.2,5.3,2.3,0.0
46,7.4,2.8,6.1,1.9,0.0
47,7.7,2.8,6.7,2.0,0.0
48,6.3,2.9,5.6,1.8,0.0
49,6.7,2.5,5.8,1.8,0.0
50,7.7,3.8,6.7,2.2,0.0
51,6.0,2.2,5.0,1.5,0.0
52,6.1,3.0,4.9,1.8,0.0
53,6.8,3.0,5.5,2.1,0.0
54,6.3,3.4,5.6,2.4,0.0
55,6.0,3.0,4.8,1.8,0.0
56,6.7,3.3,5.7,2.1,0.0
57,6.4,2.8,5.6,2.1,0.0
58,6.9,3.2,5.7,2.3,0.0
59,6.7,3.0,5.2,2.3,0.0
60,7.9,3.8,6.4,2.0,0.0
61,6.5,3.0,5.5,1.8,0.0
